WikiData QID	parent	ML_ID	label
Q6935164	ML_LEX-STRUCT_MULTIWORD-EXPRESSION	ML_LEX-STRUCT_PHRASE	phraseme
Q35102	ML_LEX-STRUCT_SENTENCE	ML_LEX-STRUCT_PROVERB	proverb
Q41796		ML_LEX-STRUCT_SENTENCE	sentence
Q189756	ML_LEX-STRUCT_SENTENCE	ML_LEX-STRUCT_SENTENCE-INTERROGATIVE	question
		ML_SEMANTIC-CLASS_ABSTRACT	abstract
		ML_SEMANTIC-CLASS_ALGEMEEN	algemeen
		ML_SEMANTIC-CLASS_CONCREET	concreet
		ML_SEMANTIC-CLASS_NOUN	Semantic Class Noun
	ML_SEMANTIC-CLASS_NOUN	ML_SEMANTIC-CLASS_NOUN-ABSTRACT	abstract noun
		ML_REGISTER_ABSOLUUT-GEBRUIKT	absoluut (gebruikt)
		ML_REGISTER_ANGRY	angry register
		ML_REGISTER_DIALECTISCH	dialectisch
		ML_REGISTER_FAMILIAIR-GEMEENZAAM	familiair, gemeenzaam
		ML_REGISTER_FIGUURLIJK	figuurlijk
		ML_REGISTER_GEWOONLIJK	gewoonlijk
		ML_REGISTER_HISTORISCH	historisch
		ML_REGISTER_IRONISCH	ironisch
		ML_REGISTER_LITERAIR	literair
		ML_REGISTER_VEROUDERD-OUDERWETS	verouderd, ouderwets
		ML_REGISTER_WETENSCHAPPELIJK	wetenschappelijk
Q339718		ML_RHETORIC_ACCUMULATIO	accumulatio
Q19893772		ML_RHETORIC_ACUTEZZA	acutezza
Q189183		ML_RHETORIC_AD-HOMINEM	ad hominem
		ML_RHETORIC_ADJUNCTION	adjunction
Q35986		ML_RHETORIC_AESTHETICS	aesthetics
		ML_RHETORIC_AETIOLOGIA	aetiologia
		ML_RHETORIC_AFFECTUS	affectus
Q3745428		ML_RHETORIC_AFFIRMATION-AND-NEGATION	affirmation and negation
		ML_RHETORIC_ALLOIOSIS	alloiosis
		ML_RHETORIC_ALLOISIS	alloisis
Q50757077		ML_RHETORIC_AMBIGUA	ambigua
Q738162		ML_RHETORIC_ANACOENOSIS	anacoenosis
Q484456		ML_RHETORIC_ANACOLUTHON	anacoluthon
Q14544854		ML_RHETORIC_ANADIPLOSIS	Anadiplosis
Q185816		ML_RHETORIC_ANALOGY	analogy
Q486050		ML_RHETORIC_ANAPHORA	anaphora
Q4751584		ML_RHETORIC_ANAPODOTON	anapodoton
Q193206		ML_RHETORIC_ANECDOTE	anecdote
		ML_RHETORIC_ANIMORUM-MOTUS	animorum motus
Q2463842		ML_RHETORIC_ANTANACLASIS	antanaclasis
Q17049634		ML_RHETORIC_ANTIPTOSIS	antiptosis
Q5112363		ML_RHETORIC_ANTISTROPHE	Antistrophe
Q122313503		ML_RHETORIC_ANTITHESIS	Antithesis
Q618563		ML_RHETORIC_APHERESIS	apheresis
Q112154		ML_RHETORIC_APOCOPE	apocope
		ML_RHETORIC_APOPHASIS/-APOPHESIS	apophasis/ apophesis
Q261262		ML_RHETORIC_APORIA	aporia
Q619760		ML_RHETORIC_APOSIOPESIS	aposiopesis
Q436048		ML_RHETORIC_APOSTROPHE	apostrophe
Q4959031		ML_RHETORIC_APPELLATE-COURT	appellate court
Q18595825		ML_RHETORIC_ARETE	Arete
Q186619		ML_RHETORIC_ARGUMENT	argument
Q752275		ML_RHETORIC_ARGUMENTUM-AD-BACULUM	argumentum ad baculum
Q777939		ML_RHETORIC_ARROGANCE	arrogance
Q137711384		ML_RHETORIC_ARS-ARENGANDI	Ars arengandi
Q56304068		ML_RHETORIC_ARS-PRAEDICANDI	ars praedicandi
Q9160460		ML_RHETORIC_ART-OF-POETRY	art of poetry
Q113700819		ML_RHETORIC_ARTISTIC-PROOFS:-A-KANTIAN-APPROACH-TO-AESTHETICS-IN-MATHEMATICS	Artistic Proofs: A Kantian Approach to Aesthetics in Mathematics
Q1406161		ML_RHETORIC_ARTISTIC-THEME	artistic theme
Q747668		ML_RHETORIC_ASYNDETON	asyndeton
Q211198		ML_RHETORIC_AUDIENCE	audience
Q2786		ML_RHETORIC_AUGUST-3	August 3
Q2873202		ML_RHETORIC_AUXESIS	auxesis
Q50808388		ML_RHETORIC_AXIOMS	Axioms
Q798487		ML_RHETORIC_BACKING-VOCALIST	backing vocalist
Q720113		ML_RHETORIC_BARBARISM	barbarism
Q2886750		ML_RHETORIC_BASES-DE-MANRESA	Bases de Manresa
Q43247602		ML_RHETORIC_BATHOSELLA	Bathosella
		ML_RHETORIC_BDELYGMA	bdelygma
Q268416		ML_RHETORIC_BELLETRISTIC-LITERATURE	belletristic literature
		ML_RHETORIC_BELLETRISTICMOVEMENT	belletristicmovement
Q4940904		ML_RHETORIC_BOMPHIOLOGIA	Bomphiologia
Q640423		ML_RHETORIC_BRACHYLOGY	brachylogy
Q1253840		ML_RHETORIC_BREVITAS	brevitas
Q122382956		ML_RHETORIC_BURDEN-OF-PROOF	Burden of Proof
Q63554165		ML_RHETORIC_CANON	Canon
Q8454		ML_RHETORIC_CAPITAL-PUNISHMENT	capital punishment
		ML_RHETORIC_CAPTATIO-BENEVOLUNTATIAE	captatio benevoluntatiae
Q582726		ML_RHETORIC_CATACHRESIS	catachresis
Q2574811		ML_RHETORIC_CAUSE	cause
Q5074396		ML_RHETORIC_CHARISMA	Charisma
Q103632		ML_RHETORIC_CHESS-OPENING	chess opening
		ML_RHETORIC_CIRCA-REM	circa rem
Q1095194		ML_RHETORIC_CIRCUMLOCUTION	circumlocution
Q52000412		ML_RHETORIC_CLIMAX	Climax
Q5982337		ML_RHETORIC_COLON	colon
Q721747		ML_RHETORIC_COMMEMORATIVE-PLAQUE	commemorative plaque
Q332880		ML_RHETORIC_COMMON-SENSE	common sense
Q53989261		ML_RHETORIC_COMMON-TOPICS-IN-EIGHTEENTH-CENTURY-PREFACES-TO-ENGLISH-SCHOOL-GRAMMARS:-AN-APPLICATION-OF-THE-ECEG-DATABASE	Common topics in eighteenth-century prefaces to English school grammars: an application of the ECEG database
Q378097		ML_RHETORIC_COMMUNION	communion
Q2791145		ML_RHETORIC_COMPOSITION-STUDIES	composition studies
Q327209		ML_RHETORIC_CONCESSION	concession
Q188613		ML_RHETORIC_CONFIRMATION	confirmation
Q1125478		ML_RHETORIC_CONFUTATIO-AUGUSTANA	Confutatio Augustana
Q135014683		ML_RHETORIC_CONSTRAINTS	Constraints
Q7188981		ML_RHETORIC_CONSUBSTANTIALITY	Consubstantiality
Q1123462		ML_RHETORIC_CONTEXT	ConTeXt
Q122314017		ML_RHETORIC_CONTINGENCY	CONTINGENCY
Q128767372		ML_RHETORIC_CONVERSATION-MODELING-ON-REDDIT-USING-A-GRAPH-STRUCTURED-LSTM	Conversation Modeling on Reddit Using a Graph-Structured LSTM
Q1051355		ML_RHETORIC_CONVERSION-DISORDER	conversion disorder
Q38695		ML_RHETORIC_COOKING	cooking
Q2995866		ML_RHETORIC_COUNTERARGUMENT	counterargument
Q1530061		ML_RHETORIC_CREDIBILITY	credibility
Q301751		ML_RHETORIC_CRITICAL-SOCIOLOGY	critical sociology
Q22983		ML_RHETORIC_DATA	Data
Q3704137		ML_RHETORIC_DE-OPTIMO-GENERE-ORATORUM	De Optimo Genere Oratorum
Q56404555		ML_RHETORIC_DECONSTRUCTION	Deconstruction
Q18450032		ML_RHETORIC_DELECTARE	Delectare
Q37008247		ML_RHETORIC_DEMOS	Demos
Q9453		ML_RHETORIC_DIALECTIC	dialectic
Q11694112		ML_RHETORIC_DIALLAGE	diallage
Q3322847		ML_RHETORIC_DISPOSITIO	dispositio
Q3710346		ML_RHETORIC_DISSOI-LOGOI	Dissoi Logoi
Q16829905		ML_RHETORIC_DOCERE	Docere
Q5305774		ML_RHETORIC_DRAMATISTIC-PENTAD	Dramatistic pentad
Q844782		ML_RHETORIC_DYSPHEMISM	dysphemism
Q39487323		ML_RHETORIC_E-THESES-ONLINE-SERVICE	E-Theses Online Service
Q788419		ML_RHETORIC_ECPHONESIS	ecphonesis
Q3330405		ML_RHETORIC_ELOCUTIO	elocutio
Q12769393		ML_RHETORIC_END	end
Q422913		ML_RHETORIC_ENTHYMEME	enthymeme
		ML_RHETORIC_EPANAPHORA	epanaphora
Q1346967		ML_RHETORIC_EPIDEICTIC	epideictic
Q591966		ML_RHETORIC_EPIPHORA	Epiphora
Q9471		ML_RHETORIC_EPISTEMOLOGY	epistemology
Q1937845		ML_RHETORIC_EPISTROPHE	Epistrophe
Q207869		ML_RHETORIC_EPITHET	epithet
Q1953281		ML_RHETORIC_EPIZEUXIS	Epizeuxis
Q3591979		ML_RHETORIC_ETHOPOEIA	Ethopoeia
Q83464		ML_RHETORIC_EUPHEMISM	euphemism
Q176763		ML_RHETORIC_EVIDENCE	evidence
Q1993117		ML_RHETORIC_EXEMPLUM	exemplum
Q25221914		ML_RHETORIC_EXIGENCE	Exigence
Q1384158		ML_RHETORIC_EXORDIUM	Exordium
Q944752		ML_RHETORIC_FABLE	Fable
Q4481574		ML_RHETORIC_FACETIAE	Facetiae
Q13226383		ML_RHETORIC_FACILITY	facility
Q5429092		ML_RHETORIC_FACULTY-PSYCHOLOGY	faculty psychology
Q2581738		ML_RHETORIC_FALSE-CONSCIOUSNESS	False consciousness
Q55611560		ML_RHETORIC_FEMINIST-RHETORIC	Feminist rhetoric
Q8253		ML_RHETORIC_FICTION	fiction
Q48311426		ML_RHETORIC_FIELD-DEPENDENT-TRANSVERSE-RELAXATION-RATE-INCREASE-MAY-BE-A-SPECIFIC-MEASURE-OF-TISSUE-IRON-STORES	Field dependent transverse relaxation rate increase may be a specific measure of tissue iron stores
		ML_RHETORIC_FIELD-INVARIANT	field-invariant
Q29527347		ML_RHETORIC_FIGURE	figure
Q58606280		ML_RHETORIC_FORENSIC-ORATORY-AND-THE-JURY-TRIAL-IN-NINETEENTH-CENTURY-AMERICA	Forensic oratory and the jury trial in nineteenth-century America
Q962165		ML_RHETORIC_FORMAL-FALLACY	formal fallacy
Q83460		ML_RHETORIC_GENERAL	general
Q37476917		ML_RHETORIC_GENS	Gens
Q131476263		ML_RHETORIC_GRAECISMUS	Graecismus
Q102686		ML_RHETORIC_HERMENEUTICS	hermeneutics
Q3068733		ML_RHETORIC_HETEROGLOSSIA	heteroglossia
Q201413		ML_RHETORIC_HEURISTIC	heuristic
Q932406		ML_RHETORIC_HOMEOTELEUTON	homeoteleuton
		ML_RHETORIC_HOMIOLOGIA	homiologia
Q20156052		ML_RHETORIC_HORISMUS-DAMASISTRATI-FILIUS	Horismus Damasistrati filius
Q181036		ML_RHETORIC_HYPERBOLE	hyperbole
Q1641379		ML_RHETORIC_HYPOPHORA	Hypophora
Q41719		ML_RHETORIC_HYPOTHESIS	hypothesis
Q16938453		ML_RHETORIC_HYPOZEUXIS	Hypozeuxis
Q2250272		ML_RHETORIC_HYPSOSINGA	Hypsosinga
Q132137		ML_RHETORIC_ICON	icon
Q2493413		ML_RHETORIC_IDENTIFICATION	identification
Q7257		ML_RHETORIC_IDEOLOGY	ideology
Q1131737		ML_RHETORIC_IMITATION	imitation
		ML_RHETORIC_INARTISTIC-PROOFS	inartistic proofs
		ML_RHETORIC_INDEFINITE-QUESTIONS	indefinite questions
Q2730592		ML_RHETORIC_INDIGNATION	indignation
Q29887572		ML_RHETORIC_INDUCTION	Induction
Q69652283		ML_RHETORIC_INFERRED-FROM-TITLE	inferred from title
Q48732423		ML_RHETORIC_INGENIUM-ENGINE-FAMILY	Ingenium engine family
Q3010439		ML_RHETORIC_INSTITUTIO-ORATORIA	Institutio Oratoria
		ML_RHETORIC_INSULTATIO	insultatio
Q111909518		ML_RHETORIC_INTERACTIVE-OPEN-CONTAINER-IMAGE	Interactive Open Container Image
Q128494285		ML_RHETORIC_INTERLACEMENT-AND-ACTIVITIES-IN-DELTA-MATROIDS	Interlacement and activities in delta-matroids
Q168210		ML_RHETORIC_INTERNET-FORUM	Internet forum
		ML_RHETORIC_INTERSUBJECTIVE-AGREEMENTS	intersubjective agreements
Q48785158		ML_RHETORIC_INVITATIONAL-RHETORIC	Invitational rhetoric
Q131361		ML_RHETORIC_IRONY	irony
Q737677		ML_RHETORIC_IRRELEVANT-CONCLUSION	irrelevant conclusion
Q21446657		ML_RHETORIC_ISOCOLON	Isocolon
Q41281619		ML_RHETORIC_ISSUES-OF-DEFINITIONS-AND-THEIR-IMPLICATIONS:-AIDS-AND-LEPROSY	Issues of definitions and their implications: AIDS and leprosy
		ML_RHETORIC_ISSUES-OF-FACT	issues of fact
Q77570592		ML_RHETORIC_ISSUES-OF-QUALITY-AND-PRACTICABILITY-IN-TASK-ANALYSIS:-PRELIMINARY-RESULTS-FROM-TWO-SURVEYS	Issues of quality and practicability in task analysis: preliminary results from two surveys
Q17951		ML_RHETORIC_JARGON	jargon
Q109578617		ML_RHETORIC_JIAN-SHI	Jian Shi
Q19376756		ML_RHETORIC_KAIROS	Kairos
		ML_RHETORIC_KOINOI-TOPOI	koinoi topoi
