WikiData QID	parent	ML_ID	label	description	wiktionary
	ML_DERIVATION_PROCESS	ML_DERIVATION_AFFIX	affix	A [bound morpheme](https://en.wiktionary.org/wiki/bound_morpheme) added to a word’s stem; a [prefix](https://en.wiktionary.org/wiki/prefix), [suffix](https://en.wiktionary.org/wiki/suffix), [interfix](https://en.wiktionary.org/wiki/interfix), etc. In the narrow sense, a synonym of [**suffix**](#suffix).	https://en.wiktionary.org/wiki/affix
Q108709	ML_POS_ADJECTIVE	ML_DERIVATION_DIMINUTIVE	diminutive	A word form expressing smallness, youth, endearment, unimportance, or contempt. Opposite of [intensive](#intensive).	https://en.wiktionary.org/wiki/diminutive
	ML_DERIVATION_PROCESS	ML_DERIVATION_NOUN-AGENT	agent noun	A noun that denotes an [agent](https://en.wiktionary.org/wiki/agent#English:_grammar) that does the action denoted by the verb from which the noun is derived, such as "cutter" derived from "to cut". Such an agent can be either a person or a thing, and either [sentient](https://en.wiktionary.org/wiki/sentient#English) or [nonsentient](https://en.wiktionary.org/wiki/nonsentient#English): thus definitions often begin, "_One who, or that which,_ [does X]."	https://en.wiktionary.org/wiki/agent_noun
	ML_DERIVATION_PROCESS	ML_DERIVATION_AFFIXATION	affixation	The formation of new words by adding affixes to a root or stem.	
		ML_DERIVATION_PROCESS	Derivation Process		
