WikiData QID	parent	ML_ID	label	description	wiktionary
Q164573		ML_SYNTACTIC-RELATION_SUBJECT	subject	In a [clause](#clause): the word or word group (usually a noun phrase) that is dealt with. In [active clauses](#active_voice) with [verbs](#verb) denoting an action, the subject and the actor are usually the same. / Contrast [object](#object).	https://en.wiktionary.org/wiki/subject
Q715923		ML_SYNTACTIC-RELATION_OBJECT	object	The entity that is acted upon by a [verb](#verb). For example, in the sentence _Tom studies grammar_, the word _grammar_ is the object. / Contrast [subject](#subject). See also [direct object](#direct_object) and [indirect object](#indirect_object). The entity that follows the [preposition](#preposition) in a [prepositional phrase](https://en.wiktionary.org/wiki/prepositional_phrase). For example, in the sentence _Tom went to school_, the word _school_ is the object of the preposition [_to_](https://en.wiktionary.org/wiki/to#English).	https://en.wiktionary.org/wiki/object
Q162130		ML_SYNTACTIC-RELATION_PREDICATE	predicate	The part of a [sentence](#sentence) that follows the [subject](#subject). This generally consists of the [verb](#verb) and any [objects](#object). It can also consist of a [linking verb](#linking_verb) (e.g. "to be", "to seem", etc.) and a following [adjective](#adjective), which is termed a _predicate adjective_ or _predicative adjective_ (contrasted with an [_attributive_](#attributive) adjective, which directly modifies a [noun](#noun)). An example would be [_good_](https://en.wiktionary.org/wiki/good#English) in _The food is good_. Some languages, such as German and Russian, have a special declension for predicate adjectives.	https://en.wiktionary.org/wiki/predicate
Q175002	ML_SYNTACTIC-RELATION_OBJECT	ML_SYNTACTIC-RELATION_DIRECT-OBJECT	direct object	The [noun](#noun) or noun [phrase](#phrase) that a [verb](#verb) is directly acting upon. In some languages direct objects are marked with the [accusative case](#accusative_case). / → [transitive verb](#transitive_verb), [indirect object](#indirect_object)	https://en.wiktionary.org/wiki/direct_object
Q175003	ML_SYNTACTIC-RELATION_OBJECT	ML_SYNTACTIC-RELATION_INDIRECT-OBJECT	indirect object	A grammatical role of a [ditransitive verb](#ditransitive_verb) that usually manifests as a recipient or goal. In some languages indirect objects are marked with the [dative case](#dative_case). / → [direct object](#direct_object)	https://en.wiktionary.org/wiki/indirect_object
