WikiData QID	parent	ML_ID	label
Q43249		ML_MORPHOLOGY_MORPHEME	morpheme
		ML_MORPHOLOGY_MORPHEME-PREFIX	prefix
		ML_MORPHOLOGY_MORPHEME-PREFIX-PRIVATIVE	privative prefix        
		ML_MORPHOLOGY_MORPHEME-ROOT	root
		ML_MORPHOLOGY_MORPHEME-SUFFIX	suffix
